,0
0,tolong
1,diperbaiki
2,lagi
3,karena
4,iklannya
5,sangat
6,sangat
7,sangat
8,mengganggu
9,saat
10,nonton
11,film
12,tolong
13,diperbaiki
14,lagi🙏sangatlah
15,sukaok
16,lahmahal
17,kalau
18,hanya
19,untuk
20,nonton
21,liga
22,1kebanyakan
23,iklan
24,mana
25,iklan
26,durasinya
27,lamaoksekarang
28,makin
29,sering
30,buffering
31,saat
32,nonton
33,di
34,apk
35,"ini,"
36,padahal
37,berbayar
38,tapi
39,berasa
40,menikmati
41,konten
42,gratisantidak
43,bagusparah
44,banget
45,udh
46,bayar
47,paket
48,tahunan
49,tapi
50,nonton
51,yang
52,express
53,mesti
54,bayar
55,lagi
56,5rb/episode
57,ini
58,mah
59,sama
60,aja
61,nipu
62,nama
63,"nya,"
64,udah
65,bayar
66,di
67,suruh
68,bayar
69,"lagi,"
70,asli
71,kecewa
72,banget
73,dan
74,nyesel
75,udh
76,berlangganan
77,1
78,tahungua
79,udah
80,lama
81,langganan
82,vidio...
83,dan
84,tolong
85,dong
86,film
87,serigala
88,terakhir
89,di
90,adakan
91,lagi
92,season
93,3
94,nya
95,karena
96,kan
97,kemarin
98,film
99,nya
100,gantung
101,si
102,ariel
103,blm
104,mati
105,msh
106,bnyk
107,tanda
108,tanya
109,nya..
110,sama
111,paket
112,langganan
113,nya
114,kalo
115,bisa
116,di
117,murahkan
118,jangan
119,kemahalanknp
120,apk
121,vidio
122,di
123,hp
124,sya
125,gbsa
126,di
127,buka
128,gagal
129,memuatt
130,trs
131,apa
132,gra²
133,pke
134,wifi??
135,tpi
136,dri
137,dlu
138,sya
139,pakai
140,wifi
141,bisa
142,tpi
143,skrng
144,gk
145,bisakenapa
146,kok
147,sering
148,eror
149,sii
150,miin
151,pdhal
152,wifiku
153,lancar
154,lohhhtingkatkan
155,lagi.sudah
156,berlangganan
157,tapi
158,gak
159,bisa
160,log
161,in.
162,saya
163,mau
164,batalkan
165,langganan
166,bagaimana
167,caranya.
168,kembaliin
169,biaya
170,pembayaran
171,saya.kenapa
172,aplikasi
173,video
174,ko
175,ngk
176,bisa
177,di
178,buka
179,dari
180,tadi
181,coba
182,terus
183,ngk
184,bisa
185,ngk
186,nampil
187,gambarnya
188,mau
189,nonton
